Comment,Designator,Footprint,LCSC Part #(optional)
100nf,"C31,C1,C3,C5,C7,C8,C14,C15,C23,C24,C36,C37,C38,C27,C39,C40",0805_C,C49678
BC817,"Q1,Q2,Q6,Q8,Q9",SOT-23,C2145
4K7,"R1,R14,R30,R61",0805_R,C17673
10K,"R2,R3,R4,R7,R11,R20,R23,R26,R28,R29,R31,R32,R37,R38,R42,R43,R57,R62,R63,R65",0805_R,C17414
S210,D1,D_SMA,C14996
bead,L1,L_0805_2012Metric,C1017
100K,R5,0805_R,C17407
10uf,"C2,C4,C6,C16,C17,C18,C19,C25,C26,C28,C29,C43,C44,C45,C47,C51",0805_C,C15850
12pf,"C9,C10",0805_C,C1792
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
20K,"R6,R46,R51",0805_R, C4328
LM317_3PinPackage,"U2,U3",TO-252-2,C75510
5K6,R8,0805_R,C4382
3K3,"R9,R50",0805_R,C26010
100,R10,R_1206_3216Metric,C17901
1K,"R12,R17,R18,R19,R22,R25,R33,R34,R36,R40,R41,R47,R52,R53,R54,R55,R56,R64",0805_R,C17513
0,R13,0805_R,C17477
220nf,C30,0805_C,C5378
UCC27424DR,J3,SOP-8_3.9x4.9mm_P1.27mm,C138519
2,"R15,R16",0805_R,C17606
D_Zener_Small_ALT,"D2,D3,D4,D5,D6,D8,D9,D11,D12,D13,D14,D15,D24,D25",D_MiniMELF,C8056
BCX56,"Q3,Q4,Q5,Q7",SOT-89-3,C9634
2K2,"R21,R24,R27,R45,R58,R66",0805_R,C17520
100pf,"C32,C34",0805_C,C1790
BAS,"D7,D10,D26,D27",D_SOD-123,C8598
100,"R35,R39,R48,R59,R60",0805_R,C17408
1nf,"C33,C35",0805_C,C46653
15K,"R44,R49",0805_R,C17475
LED,"D16,D18,D20,D22",LED_0805_2012Metric,C2296
STM32F334C8Tx,U4,LQFP-48_7x7mm_P0.5mm,C99450
100uf,"C41,C42",CP_EIA-3528-21_Kemet-B,C16133
10uf,"C11,C12,C13,C46,C48,C20,C21,C22,C49,C50",C_1206_3216Metric,C13585
