Designator,Mid X,Mid Y,Layer,Rotation
C1,171.881800mm,-115.900200mm,Bottom,270
C2,178.754800mm,-124.091700mm,Bottom,180
C3,162.925401mm,-135.401001mm,Bottom,270
C4,176.860200mm,-135.458200mm,Bottom,90
C5,178.724800mm,-126.504700mm,Bottom,180
C6,169.468800mm,-115.900200mm,Bottom,270
C7,179.343001mm,-135.491999mm,Bottom,270
C8,145.034000mm,-99.997500mm,Bottom,270
C9,167.462200mm,-135.379700mm,Bottom,90
C10,174.447200mm,-135.458200mm,Bottom,270
C11,208.432400mm,-90.503200mm,Bottom,270
C12,213.766400mm,-90.503200mm,Bottom,270
C13,211.074000mm,-90.503200mm,Bottom,270
C14,202.969100mm,-94.030800mm,Bottom,0
C15,208.534000mm,-102.537500mm,Bottom,90
C16,210.921600mm,-102.537500mm,Bottom,90
C17,215.696800mm,-102.486700mm,Bottom,90
C18,213.360000mm,-102.537500mm,Bottom,90
C19,213.296500mm,-120.444500mm,Bottom,90
C20,211.137500mm,-107.950000mm,Bottom,270
C21,208.470500mm,-107.953000mm,Bottom,270
C22,213.804500mm,-107.953000mm,Bottom,270
C23,203.693000mm,-112.395000mm,Bottom,0
C24,215.646000mm,-120.444500mm,Bottom,90
C25,208.470500mm,-120.459500mm,Bottom,90
C26,210.883500mm,-120.474500mm,Bottom,90
C27,174.307500mm,-115.872500mm,Bottom,90
C28,178.724800mm,-128.917700mm,Bottom,180
C29,169.468800mm,-102.283500mm,Bottom,90
C30,166.497000mm,-98.552000mm,Bottom,270
C31,197.002400mm,-96.090500mm,Bottom,270
C32,190.550800mm,-103.354900mm,Bottom,90
C33,198.397100mm,-104.394000mm,Bottom,180
C34,144.833100mm,-110.566200mm,Bottom,0
C35,151.371300mm,-119.555500mm,Bottom,270
C36,198.574900mm,-115.519200mm,Bottom,180
C37,180.642500mm,-98.856800mm,Bottom,180
C38,140.756400mm,-127.647700mm,Bottom,0
C39,178.767500mm,-121.729500mm,Bottom,0
C40,197.866000mm,-132.573000mm,Bottom,270
C41,178.943000mm,-116.586000mm,Bottom,90
C42,159.321500mm,-124.396500mm,Bottom,90
C43,160.401000mm,-94.968300mm,Bottom,270
C44,147.624800mm,-95.019100mm,Bottom,270
C45,153.924000mm,-94.968300mm,Bottom,270
C46,205.790800mm,-90.525600mm,Bottom,270
C47,206.184500mm,-102.504000mm,Bottom,90
C48,216.408000mm,-90.497200mm,Bottom,270
C49,216.535000mm,-107.947000mm,Bottom,270
C50,205.803500mm,-107.950000mm,Bottom,270
C51,206.121000mm,-120.459500mm,Bottom,90
D1,200.374000mm,-90.779600mm,Bottom,180
D2,166.928800mm,-106.200000mm,Bottom,90
D3,174.294800mm,-108.125200mm,Bottom,90
D4,156.085600mm,-108.559600mm,Bottom,0
D5,149.758400mm,-108.559600mm,Bottom,0
D6,162.481200mm,-108.610400mm,Bottom,0
D7,188.976000mm,-94.615000mm,Bottom,180
D8,194.259200mm,-104.676000mm,Bottom,270
D9,194.259200mm,-111.224000mm,Bottom,90
D10,143.662400mm,-103.835200mm,Bottom,0
D11,149.888000mm,-116.205000mm,Bottom,0
D12,149.758400mm,-112.293400mm,Bottom,0
D13,195.351400mm,-117.193000mm,Bottom,90
D14,181.574500mm,-102.171500mm,Bottom,0
D15,145.072100mm,-125.910400mm,Bottom,90
D16,158.102300mm,-133.819900mm,Bottom,270
D18,152.882600mm,-133.809500mm,Bottom,270
D20,142.608300mm,-133.807200mm,Bottom,270
D22,147.726400mm,-133.769100mm,Bottom,270
D24,197.421500mm,-127.099000mm,Bottom,90
D25,194.881500mm,-127.063500mm,Bottom,90
D26,143.636000mm,-116.586000mm,Bottom,180
D27,185.483500mm,-111.252000mm,Bottom,90
J3,174.363799mm,-100.287999mm,Bottom,180
L1,167.055800mm,-115.948700mm,Bottom,270
Q1,141.732000mm,-97.790000mm,Bottom,90
